text
I want to give a huge shout out and thanks to @nordstromrack employee #10010692. He processed my return on Monday and made it so pleasant! No judgement or complaining about the task despite a huge box of stuff. He was so friendly! Thank you!
I had a horrible experience at your store in Weirton WV and I left my groceries and went to Walmart instead. I wish you hired employees that better customer service skills because after 20yrs of shopping their I may as well not go back.
Followed all advice online on how to fix the 'moisture detected in charge port' error on note8. Keeps coming back for months. Phone hasn't ever been wet. Cannot charge. Sitting in a goddamn car balancing on wireless charging pad.
Great customer experience!
Congratulations to Jessica who was hired to work on The Dollar Tree!
No matter how many times you click you are forced to watch the dammed tjmaxx commercial!
IKEA is calling on the nation to join the Last Straw campaign to ensure it has a lasting impact on the planet
I want that bag!
very chic!
